ASM;Contrast;IDM;Entropy;Homogeneity;Sum Mean;Maximum Probability;Dissimilarity;Difference mean;Autocorrelation;Class
0.576012210805;223.629.147.287;0.82159943761;0.733277855781;0.834694508314;111.807.751.938;0.758449612403;453.953.488.372;0.0331782945736;51.007.503.876;1
0.453030947659;103.988.837.209;0.871241956358;0.762497816727;0.87613015817;162.654.263.566;0.669147286822;224.496.124.031;-0.0105426356589;801.177.364.341;1
0.400692939126;245.364.341.085;0.785037472265;0.979234907737;0.798780157527;175.417.054.264;0.631007751938;501.395.348.837;0.0093023255814;828.203.100.775;1
0.868709813112;436.896.124.031;0.964646220999;0.21152815658;0.967122294525;353.627.906.977;0.931782945736;0.905736434109;0.0841860465116;186.728.372.093;1
0.855060441079;620.852.713.178;0.959427001737;0.224942535522;0.961771796568;370.093.023.256;0.924341085271;125.426.356.589;0.0683720930233;183.708.527.132;1
0.666876557899;158.993.178.295;0.889317005581;0.496494099038;0.894293798212;800.945.736.434;0.815813953488;323.813.953.488;0.0106976744186;338.644.031.008;1
0.688066438315;172.519.379.845;0.890546242041;0.477842936929;0.895285235959;729.720.930.233;0.828837209302;346.573.643.411;-0.00015503875969;298.989.767.442;1
0.568678228472;146.586.976.744;0.854932526929;0.681178736249;0.864244553814;116.575.193.798;0.753178294574;309.178.294.574;-0.00511627906977;548.347.906.977;1
0.993193870561;62.015.503.876;0.997520371696;0.0115085475988;0.997568019456;0.108527131783;0.996589147287;0.124031007752;0.0;232.558.139.535;1
0.870206838531;590.548.837.209;0.961651508278;0.203479294494;0.963270991087;289.271.317.829;0.932713178295;1.2;-0.0483720930233;120.589.147.287;1
0.826288708611;639.165.891.473;0.949192527899;0.275981286421;0.951720022802;414.372.093.023;0.908837209302;13.088.372.093;-0.0187596899225;185.610.542.636;1
0.830261354486;672.449.612.403;0.949721017001;0.263664981257;0.951790253934;396.170.542.636;0.911007751938;137.829.457.364;-0.0317829457364;173.236.899.225;1
0.529467315666;236.340.465.116;0.81876105407;0.782145372443;0.830491813104;125.537.984.496;0.726821705426;47.007.751.938;0.00682170542636;564.433.178.295;1
0.683875151734;246.726.511.628;0.871998701187;0.46370850603;0.876723636056;660.666.666.667;0.826046511628;488.465.116.279;-0.028992248062;220.075.968.992;1
